,chnm,Classification,Cmax,AC50,NAS,test_target,test_target_name,assay_component_endpoint_name
43,methotrexate,MostDILI Drugs,0.7724,0.0053339780000000005,0.99309428,oxstress,oxidative stress,APR_HepG2_OxidativeStress_72h_up_Row202
44,colchicine,AmbiDILIDrugs,0.0163,0.050536645,-2.100407669,oxstress,oxidative stress,APR_HepG2_OxidativeStress_72h_up_Row202
45,disulfiram,MostDILI Drugs,5.4,9.849039317,-0.82389617,TP53,p53,APR_HepG2_p53Act_24h_up_Row648
46,fenofibrate,LessDILIDrugs,4.1016,0.004000112,0.9990247440000001,TP53,p53,APR_HepG2_p53Act_72h_dn_Row649
47,cladribine,AmbiDILIDrugs,0.0227,0.045007427,-0.982706035,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
48,colchicine,AmbiDILIDrugs,0.0163,0.004,0.754601227,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
49,pyrimethamine,LessDILIDrugs,3.2889,3.745996472,-0.138981566,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
50,disulfiram,MostDILI Drugs,5.4,10.3116922,-0.90957263,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
51,ketoconazole,MostDILI Drugs,7.0,11.78448518,-0.6834978829999999,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
52,valproic acid,MostDILI Drugs,540.0,0.004132863,0.9999923470000001,TP53,p53,APR_HepG2_p53Act_72h_up_Row173
53,colchicine,AmbiDILIDrugs,0.0163,0.004228664,0.7405727609999999,JUN,stress kinase,APR_HepG2_StressKinase_24h_up_Row645
54,fenofibrate,LessDILIDrugs,4.1016,0.010053961,0.997548771,JUN,stress kinase,APR_HepG2_StressKinase_72h_dn_Row646
55,colchicine,AmbiDILIDrugs,0.0163,0.004,0.754601227,JUN,stress kinase,APR_HepG2_StressKinase_72h_up_Row189
56,hydroxyurea,MostDILI Drugs,348.4321,72.87309545,0.790854243,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_dn_Row313
57,lansoprazole,LessDILIDrugs,1.9222,1.812129083,0.05726298900000001,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_up_Row342
58,leflunomide,MostDILI Drugs,24.7956,7.85553,0.68318855,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_up_Row342
59,sulindac,MostDILI Drugs,31.9852,4.121776593,0.8711348809999999,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_up_Row342
60,zileuton,MostDILI Drugs,13.1192,47.60137946,-2.628375165,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_up_Row342
61,ketoconazole,MostDILI Drugs,7.0,0.639871295,0.908589815,AHR,aryl hydrocarbon receptor,ATG_Ahr_CIS_up_Row342
62,pyrimethamine,LessDILIDrugs,3.2889,2.060860725,0.37338905899999997,JUN,AP1 transcription factor,ATG_AP_1_CIS_up_Row35
63,leflunomide,MostDILI Drugs,24.7956,94.19684223,-2.798933772,JUN,AP1 transcription factor,ATG_AP_1_CIS_up_Row35
64,tolazamide,LessDILIDrugs,90.0,0.96547165,0.9892725370000001,JUN,AP1 transcription factor,ATG_AP_1_CIS_up_Row35
65,troglitazone,MostDILI Drugs,6.3867,8.054327828,-0.261109466,JUN,AP1 transcription factor,ATG_AP_1_CIS_up_Row35
66,disulfiram,MostDILI Drugs,5.4,24.977698999999998,-3.625499815,JUN,AP1 transcription factor,ATG_AP_1_CIS_up_Row35
67,leflunomide,MostDILI Drugs,24.7956,6.12741743,0.752882873,TFAP2A,AP2 transcription factor,ATG_AP_2_CIS_dn_Row338
68,tolcapone,MostDILI Drugs,74.2928,21.31704656,0.7130671270000001,TFAP2A,AP2 transcription factor,ATG_AP_2_CIS_dn_Row338
69,ketoconazole,MostDILI Drugs,7.0,0.0014921079999999998,0.999786842,AR,steroidal,ATG_AR_TRANS_dn_Row340
70,norethindrone,AmbiDILIDrugs,0.0328,0.093378799,-1.846914604,AR,androgen receptor,ATG_AR_TRANS_up_Row341
71,ketoconazole,MostDILI Drugs,7.0,28.5805479,-3.0829354139999996,BMPR2,smad protein,ATG_BRE_CIS_up_Row344
72,leflunomide,MostDILI Drugs,24.7956,119.1964956,-3.80716319,BMPR2,smad protein,ATG_BRE_CIS_up_Row344
73,tolcapone,MostDILI Drugs,74.2928,60.54805117,0.18500781800000002,BMPR2,smad protein,ATG_BRE_CIS_up_Row344
74,pyrimethamine,LessDILIDrugs,3.2889,15.20063359,-3.621798653,CEBPB,basic leucine zipper,ATG_C_EBP_CIS_up_Row350
75,ketoconazole,MostDILI Drugs,7.0,33.67752108,-3.81107444,NR1I3,constitutive androstane receptor,ATG_CAR_TRANS_dn_Row345
76,colchicine,AmbiDILIDrugs,0.0163,0.07190424299999999,-3.4113032519999997,intmrkr,background control,ATG_CMV_CIS_up_Row39
77,pyrimethamine,LessDILIDrugs,3.2889,1.76371695,0.46373652299999996,intmrkr,background control,ATG_CMV_CIS_up_Row39
78,tetracycline,LessDILIDrugs,27.8172,87.40887127,-2.142259871,intmrkr,background control,ATG_CMV_CIS_up_Row39
79,ketoconazole,MostDILI Drugs,7.0,24.58426039,-2.512037199,intmrkr,background control,ATG_CMV_CIS_up_Row39
80,nilutamide,MostDILI Drugs,7.2504,24.62606867,-2.396511733,intmrkr,background control,ATG_CMV_CIS_up_Row39
81,tolcapone,MostDILI Drugs,74.2928,12.70750916,0.828953692,intmrkr,background control,ATG_CMV_CIS_up_Row39
82,troglitazone,MostDILI Drugs,6.3867,8.671723711,-0.357778463,intmrkr,background control,ATG_CMV_CIS_up_Row39
83,ketoconazole,MostDILI Drugs,7.0,20.25296614,-1.8932808769999998,CREB3,basic leucine zipper,ATG_CRE_CIS_up_Row348
84,celecoxib,LessDILIDrugs,1.8328,8.371514772000001,-3.5676095439999997,NR1H3,liver x receptor,ATG_DR4_LXR_CIS_dn_Row28
85,albendazole,MostDILI Drugs,0.9045,3.167157664,-2.50155629,NR1H3,liver x receptor,ATG_DR4_LXR_CIS_dn_Row28
86,ketoconazole,MostDILI Drugs,7.0,24.02833693,-2.432619561,NR1H3,liver x receptor,ATG_DR4_LXR_CIS_dn_Row28
87,troglitazone,MostDILI Drugs,6.3867,5.911178742000001,0.07445492299999999,NR1H3,liver x receptor,ATG_DR4_LXR_CIS_dn_Row28
88,indomethacin,MostDILI Drugs,5.5899,18.95906261,-2.3916640030000003,TNFRSF10B,non-steroidal,ATG_DR5_CIS_dn_Row352
89,hydrochlorothiazide,LessDILIDrugs,1.6457,4.837914481,-1.939730498,TNFRSF10B,non-steroidal,ATG_DR5_CIS_up_Row335
90,pyrimethamine,LessDILIDrugs,3.2889,2.725399707,0.17133397,TNFRSF10B,non-steroidal,ATG_DR5_CIS_up_Row335
91,danazol,MostDILI Drugs,0.1092,0.535064581,-3.8998587999999996,TNFRSF10B,non-steroidal,ATG_DR5_CIS_up_Row335
92,disulfiram,MostDILI Drugs,5.4,17.02066211,-2.151974465,USF1,e-box protein,ATG_E_Box_CIS_dn_Row362
93,sulindac,MostDILI Drugs,31.9852,53.38782559,-0.6691415279999999,USF1,e-box protein,ATG_E_Box_CIS_dn_Row362
94,tolcapone,MostDILI Drugs,74.2928,16.31257281,0.780428617,USF1,e-box protein,ATG_E_Box_CIS_dn_Row362
95,mefenamic acid,MostDILI Drugs,26.9388,87.38103053,-2.243686821,USF1,e-box protein,ATG_E_Box_CIS_up_Row30
96,troglitazone,MostDILI Drugs,6.3867,6.553689197000001,-0.026146397999999998,USF1,e-box protein,ATG_E_Box_CIS_up_Row30
97,theophylline,NoDILI Drugs,85.0,1.04579865,0.9876964859999999,USF1,e-box protein,ATG_E_Box_CIS_up_Row30
98,troglitazone,MostDILI Drugs,6.3867,6.5651169629999995,-0.027935704,E2F1,E2F transcription factor,ATG_E2F_CIS_dn_Row31
99,ketoconazole,MostDILI Drugs,7.0,10.1667685,-0.4523955,EGR1,early growth response protein 1,ATG_EGR_CIS_up_Row355
100,sulindac,MostDILI Drugs,31.9852,38.15217324,-0.192807087,EGR1,early growth response protein 1,ATG_EGR_CIS_up_Row355
101,metformin,LessDILIDrugs,10.8,13.36335609,-0.237347786,ESR1,estrogen receptor,ATG_ERa_TRANS_dn_Row361
102,estrone,AmbiDILIDrugs,0.0218,0.0009,0.9587155959999999,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
103,norethindrone,AmbiDILIDrugs,0.0328,0.012083575,0.631598323,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
104,fenofibrate,LessDILIDrugs,4.1016,18.2268176,-3.44383109,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
105,ibuprofen,LessDILIDrugs,250.0,35.29577767,0.8588168890000001,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
106,tetracycline,LessDILIDrugs,27.8172,56.69180521,-1.03801264,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
107,gemfibrozil,MostDILI Drugs,360.6753,18.96686891,0.947412898,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
108,nitrofurantoin,MostDILI Drugs,6.0,23.8359249,-2.97265415,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
109,sulindac,MostDILI Drugs,31.9852,60.6276703,-0.895491362,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
110,troglitazone,MostDILI Drugs,6.3867,5.4162536160000005,0.151948014,ESR1,estrogen receptor,ATG_ERa_TRANS_up_Row27
111,danazol,MostDILI Drugs,0.1092,0.432684096,-2.9623085710000003,ESR1,estrogen receptor ,ATG_ERa_TRANS_up_Row27
112,caffeine,NoDILI Drugs,42.0,41.26778359,0.017433723999999998,ESR1,estrogen receptor ,ATG_ERa_TRANS_up_Row27
113,metformin,LessDILIDrugs,10.8,0.659914629,0.938896794,ESR1,estrogen receptor,ATG_ERE_CIS_dn_Row356
114,tamoxifen,MostDILI Drugs,0.1712,0.019699307,0.8849339540000001,ESR1,estrogen receptor,ATG_ERE_CIS_dn_Row356
115,estrone,AmbiDILIDrugs,0.0218,0.0009,0.9587155959999999,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
116,norethindrone,AmbiDILIDrugs,0.0328,0.004190496,0.872240976,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
117,hydrochlorothiazide,LessDILIDrugs,1.6457,3.2776388410000004,-0.9916381120000001,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
118,ibuprofen,LessDILIDrugs,250.0,9.565783352999999,0.961736867,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
119,ifosfamide,LessDILIDrugs,203.0,102.1157036,0.49696697700000003,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
120,progesterone,LessDILIDrugs,0.1927,0.86944605,-3.511915153,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
121,pyrimethamine,LessDILIDrugs,3.2889,1.281187635,0.610451022,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
122,tetracycline,LessDILIDrugs,27.8172,35.64877124,-0.281537007,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
123,gemfibrozil,MostDILI Drugs,360.6753,86.89738990000001,0.759070305,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
124,isoniazid,MostDILI Drugs,76.5635,32.18506374,0.579629148,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
125,leflunomide,MostDILI Drugs,24.7956,23.84002522,0.038538078999999996,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
126,mefenamic acid,MostDILI Drugs,26.9388,3.994620695,0.851714973,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
127,sulindac,MostDILI Drugs,31.9852,18.87329203,0.40993672,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
128,troglitazone,MostDILI Drugs,6.3867,0.22623614600000003,0.9645769890000001,ESR1,estrogen receptor,ATG_ERE_CIS_up_Row9
129,carbamazepine,MostDILI Drugs,25.8176,56.33076974,-1.181874758,ESR1,estrogen receptor ,ATG_ERE_CIS_up_Row9
130,felbamate,MostDILI Drugs,42.0,1.283999552,0.969428582,FOXO3,Foxo3,ATG_FoxO_CIS_up_Row368
131,troglitazone,MostDILI Drugs,6.3867,16.22386989,-1.540258645,NR1H4,farnesoid x receptor,ATG_FXR_TRANS_up_Row83
132,pyridoxine,NoDILI Drugs,0.1216,0.530457737,-3.362316916,GATA,GATA proteins,ATG_GATA_CIS_dn_Row370
133,pyrimethamine,LessDILIDrugs,3.2889,0.61366295,0.8134139229999999,GATA,GATA proteins,ATG_GATA_CIS_up_Row371
134,caffeine,NoDILI Drugs,42.0,0.655387421,0.984395538,GATA,GATA proteins,ATG_GATA_CIS_up_Row371
135,pyridoxine,NoDILI Drugs,0.1216,0.551144406,-3.532437549,GLI1,zinc finger protein,ATG_GLI_CIS_dn_Row372
136,methylprednisolone,LessDILIDrugs,2.9909,0.013231571000000001,0.9955760570000001,NR3C1,glucocorticoid receptor,ATG_GR_TRANS_up_Row377
137,prednisolone,LessDILIDrugs,0.6797,0.608223037,0.105159575,NR3C1,glucocorticoid receptor,ATG_GR_TRANS_up_Row377
138,tolcapone,MostDILI Drugs,74.2928,127.3597834,-0.714295105,NR3C1,glucocorticoid receptor,ATG_GR_TRANS_up_Row377
139,ampicillin,LessDILIDrugs,8.42,5.718819215,0.320805319,NR3C1,glucocorticoid receptor,ATG_GRE_CIS_dn_Row374
140,methylprednisolone,LessDILIDrugs,2.9909,0.008,0.99732522,NR3C1,glucocorticoid receptor,ATG_GRE_CIS_up_Row375
141,prednisolone,LessDILIDrugs,0.6797,0.41368337299999997,0.391373587,NR3C1,glucocorticoid receptor,ATG_GRE_CIS_up_Row375
142,clotrimazole,LessDILIDrugs,0.087,0.0006309999999999999,0.9927471259999999,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
143,tolazamide,LessDILIDrugs,90.0,53.55418676,0.40495348,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
144,warfarin,LessDILIDrugs,4.8649,4.402020751,0.09514671400000001,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
145,erythromycin,MostDILI Drugs,11.0,33.03367246,-2.003061133,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
146,gemfibrozil,MostDILI Drugs,360.6753,56.79485951,0.842531885,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
147,nitrofurantoin,MostDILI Drugs,6.0,9.330589973,-0.555098329,HIF1a,HIF1a,ATG_HIF1a_CIS_dn_Row378
148,ketoconazole,MostDILI Drugs,7.0,5.39502292,0.22928244,HIF1a,HIF1a,ATG_HIF1a_CIS_up_Row379
149,leflunomide,MostDILI Drugs,24.7956,66.26278748,-1.67236072,HIF1a,HIF1a,ATG_HIF1a_CIS_up_Row379
150,sulindac,MostDILI Drugs,31.9852,30.97639073,0.031539877,HIF1a,HIF1a,ATG_HIF1a_CIS_up_Row379
151,tolcapone,MostDILI Drugs,74.2928,21.10600256,0.7159078329999999,HIF1a,HIF1a,ATG_HIF1a_CIS_up_Row379
152,fluconazole,MostDILI Drugs,8.8156,31.70167911,-2.596088651,HNF4a,HNF4a,ATG_HNF4a_TRANS_dn_Row380
153,ketoconazole,MostDILI Drugs,7.0,24.99583534,-2.57083362,NR1H4,non-steroidal,ATG_IR1_CIS_dn_Row386
154,hydrochlorothiazide,LessDILIDrugs,1.6457,2.5156409319999997,-0.52861453,NR1H4,non-steroidal,ATG_IR1_CIS_up_Row387
155,ketoconazole,MostDILI Drugs,7.0,17.32699927,-1.47528561,IFNG,interferon regulatory factors,ATG_ISRE_CIS_dn_Row388
156,sulindac,MostDILI Drugs,31.9852,45.07839462,-0.40935165700000004,IFNG,interferon regulatory factors,ATG_ISRE_CIS_dn_Row388
157,primidone,NoDILI Drugs,4.6734,5.719657075,-0.223874925,NR1H2,liver x receptor,ATG_LXRb_TRANS_up_Row393
158,felbamate,MostDILI Drugs,42.0,0.9840444540000001,0.97657037,intmrkr,internal marker,ATG_M_19_CIS_dn_Row399
159,theophylline,NoDILI Drugs,85.0,2.477805192,0.9708493509999999,intmrkr,internal marker,ATG_M_19_CIS_dn_Row399
160,atenolol,LessDILIDrugs,4.9936,3.575051857,0.284073242,intmrkr,internal marker,ATG_M_19_TRANS_up_Row402
161,folic acid,NoDILI Drugs,0.075,0.076606239,-0.02141652,intmrkr,internal marker,ATG_M_19_TRANS_up_Row402
162,theophylline,NoDILI Drugs,85.0,0.002250359,0.999973525,intmrkr,internal marker,ATG_M_19_TRANS_up_Row402
163,pyrimethamine,LessDILIDrugs,3.2889,0.654019462,0.801143403,intmrkr,internal marker,ATG_M_32_TRANS_up_Row406
164,ketoconazole,MostDILI Drugs,7.0,31.279506800000004,-3.468500971,MTF1,metal regulatory transcription factor,ATG_MRE_CIS_up_Row84
165,leflunomide,MostDILI Drugs,24.7956,70.96183129,-1.861871916,MTF1,metal regulatory transcription factor,ATG_MRE_CIS_up_Row84
166,mefenamic acid,MostDILI Drugs,26.9388,72.52342846,-1.6921551240000001,MTF1,metal regulatory transcription factor,ATG_MRE_CIS_up_Row84
167,tolcapone,MostDILI Drugs,74.2928,119.04970349999999,-0.602439314,MTF1,metal regulatory transcription factor,ATG_MRE_CIS_up_Row84
168,troglitazone,MostDILI Drugs,6.3867,16.34800695,-1.559695453,MTF1,metal regulatory transcription factor,ATG_MRE_CIS_up_Row84
169,celecoxib,LessDILIDrugs,1.8328,6.916620387999999,-2.7737998630000003,MTF1,MTF1 (metal response binding factor),ATG_MRE_CIS_up_Row84
170,leflunomide,MostDILI Drugs,24.7956,0.513959908,0.9792721329999999,MYC,myc oncogene ,ATG_Myc_CIS_dn_Row413
171,fluvastatin,LessDILIDrugs,0.6635,1.421210703,-1.141990509,NFKB1,NFkB,ATG_NF_kB_CIS_dn_Row330
172,disulfiram,MostDILI Drugs,5.4,25.22122839,-3.67059785,NFKB1,NFkB,ATG_NF_kB_CIS_dn_Row330
173,theophylline,NoDILI Drugs,85.0,163.56857040000003,-0.924336122,NFKB1,NFkB,ATG_NF_kB_CIS_dn_Row330
174,ampicillin,LessDILIDrugs,8.42,5.719248287,0.32075436,NF1A,nuclear factor 1,ATG_NFI_CIS_dn_Row415
175,ketoconazole,MostDILI Drugs,7.0,25.68131379,-2.668759113,NF1A,nuclear factor 1,ATG_NFI_CIS_up_Row416
176,etoposide,LessDILIDrugs,17.0,31.77425487,-0.8690738159999999,NRF1,NRF1 transcription factor,ATG_NRF1_CIS_dn_Row336
177,disulfiram,MostDILI Drugs,5.4,15.80003007,-1.925931494,NRF1,NRF1 transcription factor,ATG_NRF1_CIS_dn_Row336
178,pyridoxine,NoDILI Drugs,0.1216,0.524811214,-3.3158816939999998,NRF1,NRF1 transcription factor,ATG_NRF1_CIS_dn_Row336
179,digoxin,NoDILI Drugs,0.0028,0.007314061,-1.612164643,NRF1,NRF1 transcription factor,ATG_NRF1_CIS_up_Row418
180,etoposide,LessDILIDrugs,17.0,63.19412638,-2.717301552,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_dn_Row419
181,celecoxib,LessDILIDrugs,1.8328,6.223208184,-2.3954649630000002,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
182,pyrimethamine,LessDILIDrugs,3.2889,1.5744650580000001,0.521279133,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
183,tolazamide,LessDILIDrugs,90.0,0.9324157120000001,0.989639825,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
184,ketoconazole,MostDILI Drugs,7.0,20.90921193,-1.987030276,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
185,leflunomide,MostDILI Drugs,24.7956,60.96300277,-1.4586218030000002,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
186,mefenamic acid,MostDILI Drugs,26.9388,76.70165521,-1.847255825,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
187,nilutamide,MostDILI Drugs,7.2504,21.26459947,-1.932886388,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
188,sulindac,MostDILI Drugs,31.9852,29.30615952,0.08375875299999999,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
189,troglitazone,MostDILI Drugs,6.3867,9.668011105,-0.5137725439999999,NRF2,nrf2 transcription factor,ATG_NRF2_ARE_CIS_up_Row48
190,griseofulvin,MostDILI Drugs,4.5356,11.94168419,-1.6328786030000002,TP53,p53,ATG_p53_CIS_dn_Row467
191,ketoconazole,MostDILI Drugs,7.0,9.79067454,-0.398667791,PAX6,pax6 paired box protein,ATG_Pax6_CIS_up_Row432
192,sulindac,MostDILI Drugs,31.9852,112.1438466,-2.506116785,PAX6,pax6 paired box protein,ATG_Pax6_CIS_up_Row432
193,caffeine,NoDILI Drugs,42.0,0.510148472,0.987853608,PAX6,pax6 paired box protein,ATG_Pax6_CIS_up_Row432
194,lansoprazole,LessDILIDrugs,1.9222,7.594082687,-2.9507245280000003,NR1I3,phenobarbital-responsive enhancer module,ATG_PBREM_CIS_up_Row319
195,sulindac,MostDILI Drugs,31.9852,9.57883043,0.700523041,NR1I3,phenobarbital-responsive enhancer module,ATG_PBREM_CIS_up_Row319
