,aeid,Rosig_AC50,Trog_AC50,Trog_NAS,Trog_Activation_Level,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
332,273,1000000.0,13.655723454251,-1.1381501329718007,Modest,nR-T,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP2,TIMP2,TIMP2,7077,7077,TIMP metallopeptidase inhibitor 2,TIMP metallopeptidase inhibitor 2,BSK_KF3CT_TIMP2_down,BSK_KF3CT
338,279,1000000.0,15.838157360233,-1.4798655581494355,Modest,nR-T,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_LPS_Eselectin_down,BSK_LPS
340,281,1000000.0,35.3841710158781,-4.540290136671223,Low,nR-T,regulation of gene expression,cytokine,interleukins,IL1A,IL1A,IL1A,3552,3552,"interleukin 1, alpha","interleukin 1, alpha",BSK_LPS_IL1a_down,BSK_LPS
342,283,1000000.0,36.4717485683215,-4.710578008724615,Low,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_LPS_IL8_down,BSK_LPS
344,285,1000000.0,23.239411907127,-2.6387198251251816,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_LPS_MCP1_down,BSK_LPS
346,287,1000000.0,33.0498325062956,-4.1747901899722235,Low,nR-T,regulation of gene expression,cytokine,colony stimulating factor,CSF1,CSF1,CSF1,1435,1435,colony stimulating factor 1 (macrophage),colony stimulating factor 1 (macrophage),BSK_LPS_MCSF_down,BSK_LPS
348,289,1000000.0,33.8378686945058,-4.298177258131084,Low,nR-T,regulation of gene expression,gpcr,rhodopsin-like receptor,PTGER2,PTGER2,PTGER2,5732,5732,"prostaglandin E receptor 2 (subtype EP2), 53kDa","prostaglandin E receptor 2 (subtype EP2), 53kDa",BSK_LPS_PGE2_down,BSK_LPS
350,291,1000000.0,26.6312681223042,-3.169801011837756,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_LPS_SRB_down,BSK_LPS
354,295,1000000.0,35.5521440869823,-4.56659058464971,Low,nR-T,regulation of gene expression,cytokine,inflammatory factor,TNF,TNF,TNF,7124,7124,tumor necrosis factor,tumor necrosis factor,BSK_LPS_TNFa_down,BSK_LPS
356,297,1000000.0,14.0815069711341,-1.2048173502957866,Modest,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_LPS_VCAM1_down,BSK_LPS
370,311,1000000.0,14.913755352482,-1.3351269595381023,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_SAg_MIG_down,BSK_SAg
372,313,1000000.0,25.3904451829802,-2.9755186846071053,Modest,nR-T,cell death,cell cycle,proliferation,cell death,,,,,,,BSK_SAg_PBMCCytotoxicity_down,BSK_SAg
376,317,1000000.0,25.1221880207204,-2.933516216625237,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_SAg_SRB_down,BSK_SAg
384,762,1000000.0,33.4377135481714,-4.235522812747021,Low,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_BLA_Antagonist_ratio,TOX21_AR_BLA_Antagonist
385,763,1000000.0,35.749398622267,-4.5974757891034495,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_AR_BLA_Antagonist_viability,TOX21_AR_BLA_Antagonist
389,765,1000000.0,60.7181950863806,-8.506974663970531,Low,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_LUC_MDAKB2_Antagonist,TOX21_AR_LUC_MDAKB2_Antagonist
390,767,1000000.0,25.8314869919829,-3.0445749748669733,Modest,nR-T,regulation of transcription factor activity,cyp,steroidogenesis-related,CYP19A1,CYP19A1,CYP19A1,1588,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1","cytochrome P450, family 19, subfamily A, polypeptide 1",TOX21_Aromatase_Inhibition,TOX21_Aromatase_Inhibition
400,789,1000000.0,62.4021908634468,-8.770646948102588,Low,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,TOX21_ERa_LUC_BG1_Antagonist,TOX21_ERa_LUC_BG1_Antagonist
404,794,1000000.0,35.6455792125759,-4.581220225245573,Low,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,NR3C1,NR3C1,2908,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Antagonist_ratio,TOX21_GR_BLA_Antagonist
407,1194,1000000.0,42.0689593916405,-5.586963438339127,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Antagonist_ch2,TOX21_GR_BLA_Antagonist
443,1113,1000000.0,56.5378090648798,-7.852429120653828,Low,nR-T,regulation of transcription factor activity,dna binding,heat shock protein,HSF1,HSF1,HSF1,3297,3297,heat shock transcription factor 1,heat shock transcription factor 1,TOX21_HSE_BLA_agonist_ratio,TOX21_HSE_BLA_Agonist
445,1114,1000000.0,42.5132808700991,-5.656533244100882,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p1_ch1,TOX21_p53_BLA_p1
447,1116,1000000.0,39.7204084786161,-5.219238179124759,Low,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p1_ratio,TOX21_p53_BLA_p1
448,1187,1000000.0,54.8062125840848,-7.581303738093976,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p1_viability,TOX21_p53_BLA_p1
450,1118,1000000.0,30.65109385445,-3.799206766319069,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_agonist_ch2,TOX21_FXR_BLA_Agonist
453,1120,1000000.0,71.0927099474505,-10.131368304045985,Low,nR-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,NR1H4,NR1H4,9971,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_antagonist_ratio,TOX21_FXR_BLA_Antagonist
455,1191,1000000.0,252.982203321942,-38.61078543253041,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_Antagonist_ch1,TOX21_FXR_BLA_Antagonist
478,1315,1000000.0,21.1596455220654,-2.3130796063797265,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p2_ch1,TOX21_p53_BLA_p2
479,1316,1000000.0,15.0270593044033,-1.3528675692303225,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p2_ch2,TOX21_p53_BLA_p2
480,1317,1000000.0,15.3906079565995,-1.4097903387664206,Modest,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p2_ratio,TOX21_p53_BLA_p2
481,1318,1000000.0,65.6482206829768,-9.278895311033367,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p2_viability,TOX21_p53_BLA_p2
482,1319,1000000.0,26.0215112477891,-3.074328095540592,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p3_ch1,TOX21_p53_BLA_p3
483,1320,1000000.0,19.4987901924582,-2.053030546676405,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p3_ch2,TOX21_p53_BLA_p3
484,1321,1000000.0,25.5667837826703,-3.003128968429752,Modest,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p3_ratio,TOX21_p53_BLA_p3
485,1322,1000000.0,73.6661601617852,-10.53430725754853,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p3_viability,TOX21_p53_BLA_p3
486,1323,1000000.0,24.6198200148102,-2.854857753583259,Modest,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p4_ch1,TOX21_p53_BLA_p4
487,1324,1000000.0,40.9135354295746,-5.4060524886991095,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p4_ch2,TOX21_p53_BLA_p4
488,1325,1000000.0,28.0281803378968,-3.3885230773164228,Modest,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p4_ratio,TOX21_p53_BLA_p4
489,1326,1000000.0,60.3696892322856,-8.452407226311804,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p4_viability,TOX21_p53_BLA_p4
490,1327,1000000.0,53.3547507693293,-7.354040548221977,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p5_ch1,TOX21_p53_BLA_p5
491,1328,1000000.0,35.3512584236156,-4.535136834925015,Low,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p5_ch2,TOX21_p53_BLA_p5
492,1329,1000000.0,25.4161895446702,-2.979549617904426,Modest,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p5_ratio,TOX21_p53_BLA_p5
493,1330,1000000.0,73.7612850502327,-10.54920147341079,Low,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p5_viability,TOX21_p53_BLA_p5
